graph,algo,op,cycle,perf
generated_1_500_6250,ei_va,280517,2467952.0,0.1136638800106323
generated_1_500_6250,ei_u4,424209,1522008.0,0.278716669031963
generated_1_1000_25000,ei_va,2350242,17479352.0,0.13445818815251276
generated_1_1000_25000,ei_u4,3554192,11095824.0,0.32031798629826863
generated_1_1500_56250,ei_va,7987142,58804548.0,0.13582524263259366
generated_1_1500_56250,ei_u4,12090152,37945836.0,0.31861603997866855
generated_1_2000_100000,ei_va,19174322,130772184.0,0.1466238569511082
generated_1_2000_100000,ei_u4,28993057,90038590.0,0.3220070083283179
generated_1_2500_156250,ei_va,37550512,257719456.0,0.14570305472009068
generated_1_2500_156250,ei_u4,56807821,165037650.0,0.344211281486376
